Unit,Stage,Lesson Order,Lesson ID,Lesson Title,Question Count,XP,Skill Tags
Unit 1: Starter Phrases,Foundation,1,starter-1,"Hello, Thanks, and Respect",10,10,Greetings; Politeness; Day one phrases
Unit 1: Starter Phrases,Foundation,2,starter-2,Leaving and Returning,10,10,Goodbye; Movement; Everyday phrases
Unit 2: Myself,Foundation,3,self-1,Names and Introductions,10,12,Introductions; Names; Identity
Unit 2: Myself,Foundation,4,self-2,Pronouns and People,10,12,Pronouns; People; Gender note
Unit 3: Family,People,5,family-1,Family Members,10,10,Family; Vocabulary; People
Unit 3: Family,People,6,family-2,My Family Sentences,10,12,Family; Sentences; Possession
Unit 4: Counting,Daily Life,7,numbers-1,Numbers 1–10,10,10,Numbers; Counting; Vocabulary
Unit 4: Counting,Daily Life,8,numbers-2,Age and Quantity,10,12,Age; Quantity; Short phrases
Unit 5: Colors & Descriptions,Description,9,colors-1,Common Colors,10,10,Colors; Adjectives; Vocabulary
Unit 5: Colors & Descriptions,Description,10,colors-2,Describe It,10,12,Colors; Sentences; Description
Unit 6: Time & Days,Daily Life,11,time-1,"Morning, Afternoon, Night",10,10,Time; Routine; Greetings
Unit 6: Time & Days,Daily Life,12,time-2,"Today, Yesterday, Tomorrow",10,12,Time; Days; Conversation
Unit 7: Food & Needs,Daily Life,13,food-1,Food and Needs,10,10,Food; Needs; Vocabulary
Unit 7: Food & Needs,Daily Life,14,food-2,At the Table,10,12,Food; Polite requests; Sentences
Unit 8: Places & Directions,Navigation,15,places-1,Places Around Town,10,10,Places; Vocabulary; Community
Unit 8: Places & Directions,Navigation,16,places-2,Directions and Where,10,12,Directions; Questions; Where
Unit 9: Everyday Conversations,Conversation,17,conversation-1,Friendly Conversation,10,15,Dialogue; Review; Speaking pattern
Unit 9: Everyday Conversations,Conversation,18,conversation-2,Classroom and Daily Phrases,10,15,Classroom; Daily phrases; Review
Unit 10: Checkpoint Review,Review,19,review-1,Foundations Checkpoint,10,20,Checkpoint; Mixed practice; Mastery
Unit 10: Checkpoint Review,Review,20,review-2,Mixed Mastery Checkpoint,10,25,Final review; Spaced review; Mastery
